Titel,Projekt,Livsmedelsnummer,Vetenskapligt namn,Livsmedelsgrupp enligt EuroFIR,Artklassificering,Del av växt/djur,Fysisk form,Värmebehandling,Tillagningsmetod,Industriell process,Konserveringsmetod,Förpackningsmedium,Förpackningstyp,Förpackningsmaterial,Etikettinformation,Ursprung,Utmärkande drag
Tomatpuré konc konserv,1989,410,Lycopersicon esculentum Mill.,Grönsaksprodukter (A0827),Tomat (B1276),"Frukt eller bär, oskalad, kärna kvar (C0140)",Delad eller mald (E0122),Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Vatten borttaget (H0138),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Vaxbönor konserv u lag,1989,411,Phaseolus vulgaris L.,Grönsaksprodukter (A0827),Vaxböna (B1351),"Fullkorn, hela frön, gryn, bönor (C0133)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Ingen industriell process tillämpad (H0003),Steriliserad/hermetiserad (J0123),Utan förpackningsmedium (K0003),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Utan lag (Z0219)
Gröna ärter konserv m lag,1989,412,Pisum sativum,Grönsaksprodukter (A0827),Ärter (B1338),"Fullkorn, hela frön, gryn, bönor (C0133)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),kok och ej avrunnen (G0018),Industriell process inte känd (H0001),Steriliserad/hermetiserad (J0123),Annat förpackningsmedium (K0004),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Med lag (Z0220)
Gröna ärter konserv u lag,1989,413,Pisum sativum,Grönsaksprodukter (A0827),Ärter (B1338),"Fullkorn, hela frön, gryn, bönor (C0133)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),kokt och avrunnen (G0015),Industriell process inte känd (H0001),Steriliserad/hermetiserad (J0123),Utan förpackningsmedium (K0003),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Utan lag (Z0219)
Mungbönsgroddar konserv u lag,1989,414,Vigna radiata (L.) R. Wilczek var. radiata,Grönsaksprodukter (A0827),Mungbönor (B1395),Groddar (C0183),"Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Ingen industriell process tillämpad (H0003),Steriliserad/hermetiserad (J0123),Utan förpackningsmedium (K0003),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Sojabönsgroddar konserv u lag,1989,415,Glycine max (L.) Merr.,Grönsaksprodukter (A0827),Sojabönor (B1452),Groddar (C0183),"Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Ingen industriell process tillämpad (H0003),Steriliserad/hermetiserad (J0123),Utan förpackningsmedium (K0003),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Utan lag (Z0219)
Paprikasallad inlagd u lag,1989,416,Capsicum annuum L. var. annuum,Färdigsallad (A0866),Paprika (B1250),"Frukt eller bär, oskalad, kärna eller frö borttaget (C0139)",Delad i bitar (E0152),Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Syrad (H0200); Ättiksyra (inlagd) (H0300),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Ajvar relish grönsakspasta m paprika aubergine,2005 Riksmaten2,417,Capsicum spp.,Grönsaksprodukter (A0827),"Paprika, grön eller röd (B1250)","Frukt eller bär, oskalad, kärna eller frö borttaget (C0139)",Delad eller mald (E0122),Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Grönsak tillförd (H0212); Kryddor eller örter tillsatt (H0151); Saltad (H0173); Socker eller sirap tillfört (H0136); Vegetabiliskt fett eller olja tillfört (H0263); Ättiksyra (inlagd) (H0300),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Svamp konserv u lag,1989,418,Capsicum spp.,Grönsaker och svamp (A0826),Svamp grupp (B1467),Hel växt eller de mesta delarna används (C0150),"Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Industriell process inte känd (H0001),Steriliserad/hermetiserad (J0123),Utan förpackningsmedium (K0003),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Utan lag (Z0219)
Kantareller konserv u lag,1989,419,Cantharellus cibarius Fr. var. cibarius,Grönsaksprodukter (A0827),Kantarell (B1569),Hel växt eller de mesta delarna används (C0150),"Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Saltad (H0173),Steriliserad/hermetiserad (J0123),Utan förpackningsmedium (K0003),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Syltlök inlagd,1989,420,Allium cepa L.,Grönsaksprodukter (A0827),Lök (B1300),Lök (C0290),"Hel, naturligt formad (E0150)",Värmebehandling okänd (F0001),Tillagningsmetod okänd (G0001),Pickled (H0190); Syrad (H0200),Okänd konserveringsmetod (J0001),Annat förpackningsmedium (K0004),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Tomater gröna syltade,1989,421,Lycopersicon esculentum Mill.,Grönsaksprodukter (A0827),Tomat (B1276),"Frukt eller bär, oskalad, kärna kvar (C0140)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokt (G0014),Socker eller sirap tillfört (H0136); Syrad (H0200); Ättiksyra (inlagd) (H0300),Okänd konserveringsmetod (J0001),Annat förpackningsmedium (K0004),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Med lag (Z0220)
Tomater krossade konserv m lag,2012 Grönsaker och rotfrukter,422,Lycopersicon esculentum Mill.,Grönsaksprodukter (A0827),Tomat (B1276),"Frukt eller bär, oskalad, kärna kvar (C0140)",Delad i bitar (E0152),Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Industriell process inte känd (H0001),Steriliserad/hermetiserad (J0123),Annat förpackningsmedium (K0004),"Burk (M0215); Låda, box, ask (M0213)",Metall (N0041); Papper (N0039),Människoföda (P0026),Europa (R0355),Med lag (Z0220)
Fefferoni inlagd konserv,2005 Riksmaten2,423,Capsicum sp,Grönsaksprodukter (A0827),Chilipeppar (B1250),Hel växt eller de mesta delarna används (C0150),"Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Syrad (H0200); Ättiksyra (inlagd) (H0300),Steriliserad/hermetiserad (J0123),Annat förpackningsmedium (K0004),Burk (M0215); Metall (M0151),Metall (N0041),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Wokgrönsaker Asiatiska wokade i rapsolja,2004 Barn extra,424,Daucus carota,Grönsaksrätter (A0828),Morot (B1227),Rot (C0306),Delad i bitar (E0152),Fullständigt upphettad (F0014),Stekt (G0028),Grönsak tillförd (H0212); Vegetabiliskt fett eller olja tillfört (H0263),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),()
Wokgrönsaker Classic wokade i rapsolja,2004 Barn extra,425,Daucus carota,Grönsaksrätter (A0828),Morot (B1227),Rot (C0306),Delad i bitar (E0152),Fullständigt upphettad (F0014),Stekt (G0028),Grönsak tillförd (H0212); Vegetabiliskt fett eller olja tillfört (H0263),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),()
Grönsaksblandning ärter morötter konserv m lag,1989,426,Pisum sativum,Grönsaksprodukter (A0827),Ärter (B1338),"Fullkorn, hela frön, gryn, bönor (C0133)",Fast (E0151),Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Grönsak tillförd (H0212); Saltad (H0173); Vatten tillfört (H0148),Steriliserad/hermetiserad (J0123),Annat förpackningsmedium (K0004),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Grönsaksjuice konserv el pastöriserad drickf,1989,427,Pisum sativum,Juice och nektar (A0841),Grönsaksproducerande planta (B1579),Juice (C0300),"Vätska, låg viskositet, med små partiklar (drickfärdiga juicer) (E0114)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Vatten tillfört (H0148),Steriliserad/hermetiserad (J0123),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Champinjoner konserv u lag,2014 Frukt och grönt,428,Agaricus bisporus,Grönsaksprodukter (A0827),Champinjoner (B2937),Hel växt eller de mesta delarna används (C0150),"Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Industriell process inte känd (H0001); Salt tillfört (H0367); Syrad (H0200),Steriliserad/hermetiserad (J0123),Utan förpackningsmedium (K0003),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Utan lag (Z0219)
Pumpasallad m paprika inlagd sötad u lag,1989,429,Cucurbita maxima,Färdigsallad (A0866),Pumpa (B1456),"Frukt eller bär, skal borttaget, kärna eller frö borttaget (C0229)",Delad i bitar (E0152),Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Grönsak tillförd (H0212); Socker eller sirap tillfört (H0136); Syrad (H0200); Ättiksyra (inlagd) (H0300),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Utan lag (Z0219)
Grönsakssoppa klar,1984 Analyserade standardrätter,430,Cucurbita maxima,Soppa (A0865),Grönsaksproducerande planta (B1579),Del av växt eller djur inte känt (C0001),"Vätska, låg viskositet, med fasta bitar (Soppa) (E0149)",Fullständigt upphettad (F0014),Kokt (G0014),Saltad (H0173); Vatten tillfört (H0148),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Hemlagat (Z0109)
Spenatsoppa hemlagad,1984 Analyserade standardrätter,431,Spinacia oleracea L,Soppa (A0865),Spenat (B1420),Blad (C0200),"Vätska, låg viskositet, med fasta bitar (Soppa) (E0149)",Fullständigt upphettad (F0014),Kokt (G0014),Mjölk tillförd (H0184); Saltad (H0173); Spannmål tillförd (H0152); Vatten tillfört (H0148); Vegetabiliskt fett eller olja tillfört (H0263),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Hemlagat (Z0109)
Vitkålsstuvning hemlagad,1984 Analyserade standardrätter,432,Brassica oleracea L. convar. capitata var. capitata,Grönsaksrätter (A0828),Vitkål (B2071),Huvudväxt (C0151),Delad i bitar (E0152),Fullständigt upphettad (F0014),Kokt (G0014),Mjölk tillförd (H0184); Spannmål tillförd (H0152); Vatten tillfört (H0148),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Hemlagat (Z0109)
Blomkål gratinerad,2014 2015 NKMT beräknade livsmedel,433,Brassica oleracea L. var. botrytis L.,Grönsaksrätter (A0828),Blomkål (B1094),Blomma (C0237),"Delad i halvor, bitar (E0133)",Fullständigt upphettad (F0014),Ugn eller grill,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Blomkål kokt,2014 2015 NKMT beräknade livsmedel,434,Brassica oleracea L. var. botrytis L.,Grönsaksrätter (A0828),Blomkål (B1094),Blomma (C0237),"Delad i halvor, bitar (E0133)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Blomkålsstuvning,2014 2015 NKMT beräknade livsmedel,435,Brassica oleracea L. var. botrytis L.,Grönsaksrätter (A0828),Blomkål (B1094),Blomma (C0237),"Delad i halvor, bitar (E0133)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Gröna bönor stuvade,2014 2015 NKMT beräknade livsmedel,436,Phaseolus vulgaris L. ssp. vulgaris,Baljväxträtter (A0832),Gröna bönor (B1371),Balja med små omogna fröer tex gröna bönor (C0169),"Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Grönkålssoppa,2014 2015 NKMT beräknade livsmedel,437,Brassica oleracea L. convar. acephala (DC.) Alef var. sabellica L.,Soppa (A0865),Grönkål (B1281),Blad (C0200),"Vätska, låg viskositet, med fasta bitar (Soppa) (E0149)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Grönsakssoppa redd ängamat,2014 2015 NKMT beräknade livsmedel,438,Bos taurus,Soppa (A0865),Ko (B1201),Mjölk (C0235),"Vätska, låg viskositet, med fasta bitar (Soppa) (E0149)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Grönsaksbiff stekt,2014 2015 NKMT beräknade livsmedel,439,Apium graveolens var. rapaceum (Mill.),Grönsaksrätter (A0828),Rotselleri (B1729),Rot (C0306),"Hel, formad (E0147)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Grönsallat m vinägrettsås,2014 2015 NKMT beräknade livsmedel,440,Brassica rapa L. ssp. Pekinensis,Grönsaksrätter (A0828),"""Huvud"" grönsaker (B1194)","Växter ovanför ytan, inte frukt och frön (C0144)","Delad i halvor, bitar (E0133)",Ej värmebehandlad (rå) (F0003),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Grönsallat gurka tomat m vinägrettsås,2014 2015 NKMT beräknade livsmedel,441,Lycopersicon esculentum Mill.,Grönsaksrätter (A0828),Tomat (B1276),"Frukt eller bär, oskalad, kärna kvar (C0140)","Delad i halvor, bitar (E0133)",Ej värmebehandlad (rå) (F0003),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Grönsallat m gräddfilsås,2014 2015 NKMT beräknade livsmedel,442,Brassica rapa L. ssp. Pekinensis,Grönsaksrätter (A0828),Salladsgrönsaker (B1390),"Växter ovanför ytan, inte frukt och frön (C0144)",Hel och i delar (E0104),Ej värmebehandlad (rå) (F0003),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Grönsallat gurka tomat m gräddfilsås,2014 2015 NKMT beräknade livsmedel,443,Lycopersicon esculentum Mill.,Grönsaker och svamp (A0826),Tomat (B1276),"Frukt eller bär, oskalad, kärna kvar (C0140)","Delad i halvor, bitar (E0133)",Ej värmebehandlad (rå) (F0003),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Grönsallat gurka tomat paprika u dressing,2014 2015 NKMT beräknade livsmedel,444,Lycopersicon esculentum Mill.,Grönsaker och svamp (A0826),Tomat (B1276),"Frukt eller bär, oskalad, kärna kvar (C0140)","Delad i halvor, bitar (E0133)",Ej värmebehandlad (rå) (F0003),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Gurka färskinlagd,2014 2015 NKMT beräknade livsmedel,445,Cucumis sativus L. var. sativus,Grönsaksprodukter (A0827),Gurka (B1404),"Frukt eller bär, oskalad, kärna kvar (C0140)",Skivad (E0137),Ej värmebehandlad (rå) (F0003),Kalla rätter,Ingrediens tillförd (H0225),konserverad i saltlag (J0137),Förpackad i syrad saltlag (K0022),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Lök stekt,2014 2015 NKMT beräknade livsmedel,446,Allium cepa,Potatis och rotfrukter (A0829),Lök (B1300),Lök (C0290),Skivad (E0137),Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Löksås,2014 2015 NKMT beräknade livsmedel,447,Allium cepa L.,Sås (A0862),Lök (B1300),Lök (C0290),"Vätska, hög viskositet, med fasta bitar (E0138)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Lök kokt,2014 2015 NKMT beräknade livsmedel,448,Allium cepa,Potatis och rotfrukter (A0829),Lök (B1300),Lök (C0290),Hel och i delar (E0104),Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
