Livsmedelsnamn,Livsmedelsnummer,Energi (kcal),Energi (kJ),Kolhydrater (g),Fett (g),Protein (g),Fibrer (g),Vatten (g),Alkohol (g),Aska (g),Monosackarider (g),Disackarider (g),Sackaros (g),Fullkorn totalt (g),Sockerarter (g),Summa mättade fettsyror (g),Fettsyra 4:0-10:0 (g),Fettsyra 12:0 (g),Fettsyra 14:0 (g),Fettsyra 16:0 (g),Fettsyra 18:0 (g),Fettsyra 20:0 (g),Summa enkelomättade fettsyror (g),Fettsyra 16:1 (g),Fettsyra 18:1 (g),Summa fleromättade fettsyror (g),Fettsyra 18:2 (g),Fettsyra 18:3 (g),Fettsyra 20:4 (g),EPA (Fettsyra 20:5) (g),DPA (Fettsyra 22:5) (g),DHA (Fettsyra 22:6) (g),Kolesterol (mg),Retinol (µg),Vitamin A (µg),β-Karoten (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K (µg),Tiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinekvivalenter (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folat (µg),Fosfor (mg),Jod (µg),Järn (mg),Kalcium (mg),Kalium (mg),Magnesium (mg),Natrium (mg),Salt (g),Selen (µg),Zink (mg),Avfall (skal etc.) (%),Projekt,Vetenskapligt namn,Livsmedelsgrupp enligt EuroFIR,Artklassificering,Del av växt/djur,Fysisk form,Värmebehandling,Tillagningsmetod,Industriell process,Konserveringsmetod,Förpackningsmedium,Förpackningstyp,Förpackningsmaterial,Etikettinformation,Ursprung,Utmärkande drag,Exempelvis,Visningsnamn,Söksträngar
Gröna bönor frysta,332,34.8,145.5,4.5,0.2,2.25,2.92,89.4,0,0.73,1.2,0.4,0.3,0,NULL,0.06,0,0,0,0.05,0.01,0,0.01,0,0.01,0.1,0.04,0.05,0,0,0,0,0,0,31.8,354,0,0.17,46.6,0.06,0.12,14.3,0.51,0.9,0.09,0,69.3,46,0.8,0.89,76,300,24,2,0.01,0,0.37,0,2012 Grönsaker och rotfrukter,Phaseolus vulgaris,Baljväxter (A0831),Gröna bönor (B1371),"Fullkorn, hela frön, gryn, bönor (C0133)","Hel, naturligt formad (E0150)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Fryst (J0136),Utan förpackningsmedium (K0003),Påse (M0197),Plast (N0036),Människoföda (P0026),Europa (R0355),,,Frysta gröna bönor,"frysta gröna bönor, gröna bönor frysta"
Champinjoner färska,333,27.3,114.1,2.7,0.23,2.38,2.4,91.4,0,0.92,0.1,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.07,0.43,0,2.6,3,0.04,0,32.9,15.2,0,0.24,9.7,110,8.2,0,0,17,0.51,4,2014 Frukt och grönt,Agaricus bisporus,Grönsaker och svamp (A0826),Champinjoner (B2937),Hel växt eller de mesta delarna används (C0150),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Champinjoner,"champinjoner, färska champinjoner, champinjoner färska"
Friséesallat,334,14.9,62.4,1,0.2,1.2,2.2,94,0,1.4,0.2,0.7,0.7,0,NULL,0.04,0,0,0,0.04,0,0,0,0,0,0.09,0.08,0.01,0,0,0,0,0,0,102.5,1230,0,0.1,NULL,0.08,0.08,7,0.4,0.6,0.02,0,142,28,6.4,0.8,52,315,15,22,0.06,1,0.8,14,1989,Cichorium endivia L. ssp. endivia,Grönsaker och svamp (A0826),Friséesallat (B2941),Blad (C0200),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Friséesallat,"friséesallat, friséesallad"
Endivesallat,335,13.6,57,1.1,0.1,1,2.2,95,0,0.6,0.2,0.7,0.7,0,NULL,0.02,0,0,0,0.02,0,0,0,0,0,0.04,0.04,0.01,0,0,0,0,0,0,4,48,0,0.1,NULL,0.07,0.14,4,0.5,0.67,0.05,0,52,21,0.4,0.5,22,187,7,2,0.01,1,0.2,11,1989,Cichorium intybus L. cv foliosum,Grönsaker och svamp (A0826),Endive (B1314),Blad (C0200),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Endivesallat,"endivesallat, endivesallad"
Fänkål,336,28.5,119.4,1.8,0.4,2.8,3.3,90,0,1.7,2.3,0.3,0.3,0,NULL,0.07,0,0,0,0.05,0,0,0.07,0.02,0,0.18,0.04,0.13,0,0,0,0,0,0,175,2100,0,0.2,NULL,0.23,0.11,31,0.2,0.67,0.1,0,3.3,51,NULL,2.7,64,396,14,7,0.02,1,0.5,7,1989,Foeniculum vulgare Mill. ssp. vulgare var. azoricum,Grönsaker och svamp (A0826),Fänkål (B1262),Hel växt eller de mesta delarna används (C0150),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Fänkål,fänkål
Grönkål,337,40,167.4,3.2,0.7,3.38,3.7,87.5,0,1.5,1.4,0.7,0.7,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,3150,0,2.12,347,0.08,0.15,74,1.89,2.5,0.2,0,111,68.9,0,0.86,128,378,20.1,21.6,0.05,0,0.44,38,2014 Frukt och grönt,Brassica oleracea L. var. sabellica,Grönsaker och svamp (A0826),Grönkål (B1281),Blad (C0200),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Grönkål,grönkål
Grönkål fryst,338,29.7,124.3,2.3,0.5,2.7,2.6,91,0,0.9,0.7,0.4,0.4,0,NULL,0.06,0,0,0,0.05,0,0,0.01,0.01,0,0.32,0.07,0.19,0,0,0,0,0,0,175,2100,0,2.4,NULL,0.06,0.11,28,0.7,1.15,0.09,0,17,29,NULL,0.4,136,330,18,15,0.04,2.3,0.2,0,1989,Brassica oleracea L. var. sabellica,Grönsaker och svamp (A0826),Grönkål (B1281),Blad (C0200),"Hel, naturligt formad (E0150)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Fryst grönkål,"fryst grönkål, grönkål fryst"
Gurka,339,13.1,54.8,2.3,0.05,0.81,0,96.5,0,0.38,1.7,0,0,0,NULL,0.02,0,0,0,0.02,0,0,0,0,0,0.02,0.01,0.01,0,0,0,0,0,0,10,119,0,0.15,24.4,0.02,0,10.1,0.19,0.3,0.05,0,10.4,25,0.3,0.27,17,160,10,3,0.01,0,0.17,5,2012 Grönsaker och rotfrukter,Cucumis sativus L.,Grönsaker och svamp (A0826),Gurka (B1404),"Frukt eller bär, oskalad, kärna kvar (C0140)","Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Plast (M0172),Plast (N0036),Människoföda (P0026),Sverige (R0376),,,Gurka,gurka
Isbergssallat,340,14.5,60.7,2.5,0.12,0.81,0,96.2,0,0.35,2.1,0.1,0.1,0,NULL,0.02,0,0,0,0.02,0,0,0.01,0,0,0.07,0.02,0.05,0,0,0,0,0,0,9.2,108,0,0.76,44.3,0.03,0,5,0.22,0.4,0.05,0,57,23,NULL,0.33,25,180,11,3,0.01,0,0.23,5,2012 Grönsaker och rotfrukter,Lactuca sativa var. capitata,Grönsaker och svamp (A0826),Isbergssallad (B2083),Huvudväxt (C0151),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Påse (M0197),Plast (N0036),Människoföda (P0026),Sverige (R0376),,,Isbergssallat,"isbergssallat, isbergssallad, sallad"
Kronärtskocka,342,52,217.4,7.3,0.2,2.7,5,84,0,0.8,2.5,0.1,0.1,0,NULL,0.05,0,0,0,0.04,0,0,0.01,0,0.01,0.09,0.06,0.02,0,0,0,0,0,0,3.9,47,0,0.19,NULL,0.08,0.06,11,0.8,1.25,0.11,0,74,77,NULL,1.6,48,340,47,80,0.2,1,0.4,60,1989,Cynara cardunculus L.,Grönsaker och svamp (A0826),Kronärtskocka (B1466),Blomma (C0237),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Kronärtskocka,kronärtskocka
Kålrabbi,343,29.1,121.8,4.4,0.1,1.7,1.8,91,0,1,2,0.9,0.9,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0.2,NULL,0.05,0.02,62,0.4,0.68,0.15,0,20,46,NULL,0.4,24,350,19,20,0.05,0.5,0.3,54,1989,Brassica oleracea L. convar. Acephala,Grönsaker och svamp (A0826),Kålrabbi (B1369),Stam (C0101),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Kålrabbi,kålrabbi
Lök gul,344,39,163.1,7.3,0.1,1.19,1.88,89.1,0,0.47,3,1.5,1.5,0,NULL,0.03,0,0,0,0.03,0,0,0.01,0,0.01,0.04,0.04,0.01,0,0,0,0,0,0,0.2,2,0,0.05,0.5,0.04,0,7.8,0.14,0.3,0.16,0,20.4,33,0.9,0.21,31,190,11,3,0.01,0,0.11,7,2012 Grönsaker och rotfrukter,Allium cepa L.,Grönsaker och svamp (A0826),Lök (B1300),Lök (C0290),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,Gullök,"gul lök, gullök, lök"
Majskolv,345,125.2,523.7,22.07,1.61,3.88,2.88,68.8,0,0.77,0.7,2.6,2.3,100,NULL,0.2,0,0,0,0.16,0.03,0.01,0.48,0,0.47,0.7,0.67,0.03,0,0,0,0,0,0,17.5,168,0,0.08,NULL,0.15,0.08,7,1.7,2.09,0.18,0,97.5,105,0.5,0.51,2.6,294,39,0.3,0,0.5,0.5,64,1995 Frukt och grönsaker,Zea mays L.,Grönsaker och svamp (A0826),Sockermajs (B1595),Frö på pinne t ex majskolv (C0242),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Majskolv,majskolv
Majskolv fryst,346,111.3,465.6,21.5,0.8,3.3,1.8,72,0,0.6,0.8,0.9,0.8,100,NULL,0.1,0,0,0,0.08,0.02,0,0.18,0,0.18,0.43,0.4,0.02,0,0,0,0,0,0,12.5,150,0,0.5,NULL,0.1,0.09,7,1.7,2.03,0.18,0,40,87,NULL,0.7,4,294,32,5,0.01,0.5,0.7,45,1989,Zea mays L.,Grönsaker och svamp (A0826),Sockermajs (B1595),Frö på pinne t ex majskolv (C0242),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Fryst majskolv,"fryst majskolv, majskolv fryst"
Majskorn frysta,347,99,414.2,15.6,1.5,3.05,5.2,74.1,0,0.54,0.4,3.2,3.2,100,NULL,0.65,0.31,0,0,0.2,0.14,0,0.31,0,0.31,0.33,0.33,0,0,0,0,0,0,0,4.5,36,0,0.13,0.2,0.1,0.06,5.7,1.56,1.9,0.16,0,68.3,66.1,0,0.36,6,147,23.1,1.1,0,4,0.41,0,2014 Frukt och grönt,Zea mays L.,Grönsaker och svamp (A0826),Sockermajs (B1595),"Fullkorn, hela frön, gryn, bönor (C0133)","Hel, naturligt formad (E0150)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Europa (R0355),,,Fryst majs,frysta majskorn
Mangold,348,21.2,88.6,2.6,0.2,1.8,0.8,93,0,1.6,0.2,0.1,0.1,0,NULL,0.03,0,0,0,0.02,0,0,0.01,0,0.01,0.12,0.02,0.09,0,0,0,0,0,0,165,1980,0,1.5,NULL,0.04,0.09,30,0.4,0.7,0.2,0,30,46,NULL,1.8,51,380,81,215,0.54,0.5,0.6,8,1989,Beta vulgaris L. ssp,Grönsaker och svamp (A0826),Mangold (B1175),Blad (C0200),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Mangold,mangold
Nässlor förvällda,349,30.5,127.8,0.6,0.7,4.13,2.68,90.7,0,1.17,0,0.1,0.1,0,NULL,0.09,0,0,0,0.07,0,0,0.04,0.01,0.02,0.43,0.07,0.31,0,0,0,0,0,0,227.5,2730,0,3.61,453,0.01,0.12,6.9,0.38,1.1,0.06,0,82.6,85,0,2.8,280,150,30,3,0.01,0,0.32,10,2012 Grönsaker och rotfrukter,Urtica L.,Grönsaker och svamp (A0826),Nässla (B1674),Blad (C0200),"Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),kokt och avrunnen (G0015),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,Nässlor,nässlor
Paprika grön,350,18.5,77.5,3,0.06,0.5,2,94.1,0,0.35,2.9,0.1,0.1,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,161,0,0.65,11.8,0.02,0,109,0.68,0.8,0.19,0,19.5,15.2,0,0.29,9.7,110,8.2,0,0,0,0.14,15,2014 Frukt och grönt,Capsicum annuum L. var. annuum,Grönsaker och svamp (A0826),Paprika (B1250),"Frukt eller bär, oskalad, kärna eller frö borttaget (C0139)","Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Nederländerna (R0315),,,Grön paprika,grön paprika
Paprika röd,351,22.4,93.9,4.1,0.23,0.5,0.9,93.4,0,0.89,4.8,0.1,0.1,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9,417,0,2.55,6.5,0.02,0.05,144,0.79,0.9,0.24,0,56.7,14.9,0,0.28,7.7,116,7.6,0,0,0,0.16,15,2014 Frukt och grönt,Capsicum annuum L. var. annuum,Grönsaker och svamp (A0826),Paprika (B1250),"Frukt eller bär, oskalad, kärna eller frö borttaget (C0139)","Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Nederländerna (R0315),,,Röd paprika,röd paprika
Persilja blad,352,35,146.5,4.4,0.3,2.2,2.9,88,0,2.2,0.8,0,0,0,NULL,0.04,0,0,0,0.03,0,0,0.01,0.01,0,0.2,0.06,0.1,0,0,0,0,0,0,466.7,5600,0,2.7,NULL,0.12,0.3,182,1.7,2.07,0.2,0,183,71,6,3.6,340,710,25,34,0.09,0.5,1.5,0,1989,Petroselinum crispum (Mill.) convar. crispum,Krydda (A0857),Persilja (B1550),Blad (C0200),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Bladpersilja,"bladpersilja, persilja"
Pumpa,353,26.1,109.1,4.4,0.1,1,1.7,92,0,0.8,2,0.7,0.7,0,NULL,0.05,0,0,0.01,0.04,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,80,960,0,1,NULL,0.05,0.11,9,0.6,0.77,0.04,0,22,44,NULL,0.8,21,340,12,1,0,0,0.1,29,1989,Cucurbita maxima,Grönsaker och svamp (A0826),Pumpa (B1456),"Frukt eller bär, skal borttaget, kärna eller frö borttaget (C0229)","Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Pumpa,pumpa
Purjolök,354,29.5,123.4,4.1,0.15,1.56,2.71,90.9,0,0.62,3.5,0.5,0.5,0,NULL,0.03,0,0,0,0.03,0,0,0.01,0,0.01,0.07,0.05,0.02,0,0,0,0,0,0,27.8,332,0,0.78,53.5,0.08,0.06,20.3,0.48,0.7,0.21,0,72.4,29,1.1,0.56,44,240,11,6,0.02,0,0.24,16,2012 Grönsaker och rotfrukter,Allium porrum L.,Grönsaker och svamp (A0826),Purjolök (B1308),Hel växt eller de mesta delarna används (C0150),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,Purjolök,purjolök
Rödkål,355,31.4,131.3,4.7,0.3,1.13,2.64,90.5,0,0.7,4.3,0.7,0.7,0,NULL,0.06,0,0,0,0.05,0,0,0.02,0.01,0.01,0.17,0.11,0.05,0,0,0,0,0,0,0.2,2,0,0,18,0.06,0,58.9,0.39,0.6,0.17,0,45.9,25,1.4,0.28,33,260,11,8,0.02,0,0.16,20,2012 Grönsaker och rotfrukter,Brassica oleracea L. convar. capitata var. rubra,Grönsaker och svamp (A0826),Rödkål (B2072),Huvudväxt (C0151),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,Rödkål,rödkål
Huvudsallat,356,14.2,59.5,1.1,0.2,1.4,1.2,95,0,1.1,0.7,0.1,0.1,0,NULL,0.04,0,0,0,0.03,0,0,0.01,0,0,0.12,0.05,0.06,0,0,0,0,0,0,108.3,1300,0,0.3,NULL,0.08,0.1,9,0.5,0.73,0.06,0,73,32,1,0.7,65,360,13,6,0.02,0.5,0.5,10,1989,Lactuca sativa var. capitata,Grönsaker och svamp (A0826),Huvudsallat (B2084),Huvudväxt (C0151),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Huvudsallat,"huvudsallat, huvudsallad"
Savojkål,357,28.4,118.9,3.6,0.1,2,2.5,91,0,0.8,3.1,0.1,0.1,0,NULL,0.01,0,0,0,0.01,0,0,0.01,0,0.01,0.05,0.02,0.03,0,0,0,0,0,0,50,600,0,0.6,NULL,0.07,0.03,31,0.3,0.63,0.19,0,79,42,NULL,0.4,35,230,28,28,0.07,3.8,0.5,20,1989,Brassica oleracea L. convar. capitata var. Sabauda,Grönsaker och svamp (A0826),Savojkål (B2415),Huvudväxt (C0151),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Savoykål,"savojkål, savoykål"
Salladskål,358,20.6,86,2.68,0.14,1.31,1.62,93.7,0,0.55,2.4,0.1,0.1,0,NULL,0.03,0,0,0,0.03,0,0,0.02,0,0.02,0.06,0.01,0.05,0,0,0,0,0,0,1.2,15,0,0.34,NULL,0.05,0.05,39,0.78,0.99,0.15,0,150,38,0.3,0.34,25.6,204,15,9,0.02,0.2,0.3,7,1995 Frukt och grönsaker,Brassica rapa L. ssp. Pekinensis,Grönsaker och svamp (A0826),Salladskål (B1051),Huvudväxt (C0151),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Salladskål,salladskål
Sockerärter,359,37.2,155.5,4.3,0.2,3.38,2.19,89.3,0,0.65,2.5,1,0.9,0,NULL,0.04,0,0,0,0.03,0,0,0.01,0,0.01,0.11,0.09,0.02,0,0,0,0,0,0,36.2,432,0,0.45,61.7,0.17,0.09,66.4,0.82,1.4,0.12,0,46.8,67,NULL,1.24,60,230,33,1,0,4,0.64,6,2012 Grönsaker och rotfrukter,Pisum sativum var. sativum,Baljväxter (A0831),"Ärter, sockerärter (B2467)","Fullkorn, hela frön, gryn, bönor (C0133)","Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213)",Plast (N0036),Människoföda (P0026),"Kontinenter, regioner och länder (R0509)",,,Sockerärter,sockerärter
Spenat,360,17.5,73.1,0.7,0.5,1.9,1.3,94,0,1.6,0.2,0.1,0.1,0,NULL,0.06,0,0,0,0.05,0,0,0.03,0.01,0.02,0.29,0.05,0.21,0,0,0,0,0,0,275,3300,0,2.9,NULL,0.1,0.28,46,0.9,1.22,0.2,0,194,30,1,2,93,560,79,6,0.02,0.5,0.9,5,1989,Spinacia oleracea L,Grönsaker och svamp (A0826),Spenat (B1420),Blad (C0200),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Spenat,spenat
Spenat fryst,361,20.1,84,0.5,0.57,2.25,2.02,93.8,0,0.86,0.3,0.3,0.3,0,NULL,0.06,0,0,0,0.05,0,0,0.03,0.01,0.02,0.31,0.05,0.22,0,0,0,0,0,0,242.9,2900,0,1.18,260,0.04,0.1,11.9,0.23,0.6,0.1,0,95.1,33,2,0.83,120,230,32,18,0.05,0,0.77,0,2012 Grönsaker och rotfrukter,Spinacia oleracea L,Grönsaker och svamp (A0826),Spenat (B1420),Blad (C0200),"Delad i bitar 0,3-1,5 cm (hackad) (E0115)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Fryst (J0136),Utan förpackningsmedium (K0003),Påse (M0197),Plast (N0036),Människoföda (P0026),Europa (R0355),,,Fryst spenat,"fryst spenat, spenat fryst"
Squash,362,14.5,60.6,2.5,0.1,0,1.8,95,0,0.58,2.9,0.1,0.1,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,177,0,0.55,26.6,0.03,0.04,23.9,0.45,0.5,0.09,0,30.4,28.1,0,0.28,19.8,148,17.1,0,0,0,0.41,5,2014 Frukt och grönt,Cucurbita pepo L.,Grönsaker och svamp (A0826),Zucchini (B1462),Frukt eller bär (C0167),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Squash,squash
Tomat,364,17.5,73.1,2.6,0.13,0.81,1.3,94.7,0,0.46,2.85,0,0,0,NULL,0.02,0,0,0,0.02,0,0,0.02,0,0.01,0.06,0.06,0.01,0,0,0,0,0,0,43.2,518,0,0.74,3.4,0.03,0,14.8,0.58,0.7,0.1,0,16.6,22.5,0.2,0.19,12.5,240,9,2,0.01,0,0.09,0,2012 Grönsaker och rotfrukter,Lycopersicon esculentum Mill.,Grönsaker och svamp (A0826),Tomat (B1276),"Frukt eller bär, oskalad, kärna kvar (C0140)","Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Europa (R0355),,,Tomat,tomat
